user_id,session_id,clip_id,hr_mean,hr_max,hr_change_from_baseline,hr_slope,hr_recovery,eda_mean,eda_change_from_baseline,eda_peak_count,eda_max_amplitude,eda_slope,eda_recovery
Official_run_1,self_20260531_220954,clip_213,,,,0.0,,0.65345,-0.00124,382,0.05441,0.0,-0.0975
Official_run_1,self_20260531_220954,clip_206,,,,0.0,,0.65584,0.0028,382,0.05606,-0.0,-0.0249
Official_run_1,self_20260531_220954,clip_226,,,,0.0,,0.65556,0.00106,386,0.0514,-1e-06,-0.0878
Official_run_1,self_20260531_220954,clip_161,,,,0.0,,0.6552,4e-05,381,0.12814,2e-06,-0.1418
Official_run_1,self_20260531_220954,clip_158,,,,0.0,,0.65496,-0.00033,381,0.05061,2e-06,-0.0153
Official_run_1,self_20260531_220954,clip_159,,,,0.0,,0.76212,0.04109,216,0.22427,-0.000261,-0.245
Official_run_1,self_20260531_220954,clip_176,,,,0.0,,0.65267,-0.00089,384,0.05234,-1e-06,-0.0338
Official_run_1,self_20260531_220954,clip_193,,,,0.0,,0.65266,-0.00111,378,0.05293,0.0,-0.0161
Official_run_1,self_20260531_220954,clip_203,,,,0.0,,0.91809,0.04553,408,0.10414,7.3e-05,0.0
Official_run_1,self_20260531_220954,clip_219,,,,0.0,,0.98946,-0.01825,88,0.03829,-4e-05,-0.0468
Official_run_1,self_20260531_220954,clip_210,,,,0.0,,0.91839,-0.05296,8,0.03676,-5.6e-05,-0.0854
Official_run_1,self_20260531_220954,clip_222,,,,0.0,,0.86101,-0.02796,109,0.13044,-0.000183,-0.403
Official_run_1,self_20260531_220954,clip_234,,,,0.0,,0.65332,-0.001,390,0.05728,-0.0,-0.0081
Official_run_1,self_20260531_220954,clip_217,,,,0.0,,0.65351,0.0012,386,0.05929,-1e-06,-0.1097
Official_run_1,self_20260531_220954,clip_181,,,,0.0,,0.654,0.00157,382,0.05998,-0.0,-0.0178
Official_run_1,self_20260531_220954,clip_179,,,,0.0,,0.65359,-0.00011,384,0.0579,-1e-06,-0.0725
Official_run_1,self_20260531_220954,clip_175,,,,0.0,,0.65299,5e-05,385,0.06266,0.0,-0.0185
Official_run_1,self_20260531_220954,clip_194,,,,0.0,,0.65156,-0.0006,384,0.05614,-1e-06,-0.0975
Official_run_1,self_20260531_220954,clip_154,,,,0.0,,0.65251,0.00146,383,0.05485,-0.0,-0.0113
Official_run_1,self_20260531_220954,clip_170,,,,0.0,,0.65202,-7e-05,385,0.05301,-1e-06,-0.0491
Official_run_1,self_20260531_220954,clip_235,,,,0.0,,0.65108,-0.00089,378,0.05393,0.0,-0.0338
Official_run_1,self_20260531_220954,clip_231,,,,0.0,,0.65128,0.00012,384,0.05234,-1e-06,-0.0258
Official_run_1,self_20260531_220954,clip_180,,,,0.0,,0.65056,-0.00057,385,0.04677,1e-06,-0.0871
Official_run_1,self_20260531_220954,clip_152,,,,0.0,,0.6505,0.0001,383,0.0483,0.0,-0.0572
Official_run_1,self_20260531_220954,clip_227,,,,0.0,,0.64899,-0.00759,27,0.12832,1e-06,-0.1265
Official_run_1,self_20260531_220954,clip_202,,,,0.0,,0.64758,-0.00039,14,0.58414,-1e-06,-0.5955
Official_run_1,self_20260531_220954,clip_209,,,,0.0,,2.08993,0.17511,520,0.22238,-1e-06,-0.0411
official_run_2,self_20260601_112658,clip_240,88.0,93.0,-0.75,2.17143,-2.0,1.27693,-0.02003,3,0.05124,3e-06,-0.0612
official_run_2,self_20260601_112658,clip_239,84.167,90.0,0.833,-1.05714,-12.0,1.33245,0.03026,469,0.08471,2.3e-05,-0.0371
official_run_2,self_20260601_112658,clip_238,80.2,87.0,-3.0,2.0,0.0,1.28554,-0.03508,82,0.06387,-9.6e-05,-0.1564
official_run_2,self_20260601_112658,clip_237,80.5,86.0,1.25,-1.05714,-10.0,1.2156,0.00421,290,0.07561,7.5e-05,0.0
official_run_2,self_20260601_112658,clip_236,80.167,82.0,3.667,0.02857,0.0,1.21991,-0.05616,1,0.03504,-0.000103,-0.1466
official_run_2,self_20260601_112658,clip_235,79.333,83.0,1.333,-1.54286,-12.0,1.15605,0.01595,239,0.07031,-2.3e-05,-0.054
official_run_2,self_20260601_112658,clip_234,73.286,77.0,-0.714,-1.53571,-9.0,1.18589,-0.00263,220,0.05978,8.8e-05,-0.0113
official_run_2,self_20260601_112658,clip_233,75.571,76.0,-10.429,0.21429,0.0,1.17123,0.08189,520,0.13876,1.1e-05,-0.029
official_run_2,self_20260601_112658,clip_232,74.857,80.0,-2.81,-0.53571,-5.0,1.18735,-0.00859,8,0.04107,1.5e-05,-0.05
official_run_2,self_20260601_112658,clip_231,79.0,82.0,-3.667,-0.03571,-2.0,1.32451,0.00045,158,0.10713,-6.3e-05,-0.1265
official_run_2,self_20260601_112658,clip_230,76.333,82.0,1.083,-1.42857,-6.0,1.24082,-0.0668,0,0.0,-2.3e-05,-0.1418
official_run_2,self_20260601_112658,clip_229,75.5,79.0,-4.9,-0.71429,-5.0,1.16471,0.04763,506,0.11181,1e-06,-0.0967
official_run_2,self_20260601_112658,clip_228,78.333,80.0,-2.667,-1.14286,-5.0,1.05523,-0.00874,164,0.06663,6.2e-05,-0.0499
official_run_2,self_20260601_112658,clip_227,73.857,77.0,-2.143,0.92857,0.0,1.08473,0.01647,274,0.05434,3e-06,-0.021
official_run_2,self_20260601_112658,clip_226,74.0,76.0,-5.25,0.8,0.0,1.03617,-0.02692,6,0.0288,-1.7e-05,-0.0273
official_run_2,self_20260601_112658,clip_225,72.833,75.0,-3.417,-0.25714,-2.0,0.99452,-0.06516,0,0.01692,-6.9e-05,-0.0757
official_run_2,self_20260601_112658,clip_224,74.286,78.0,0.952,0.85714,0.0,1.00083,-0.0311,6,0.05437,-8e-05,-0.1475
official_run_2,self_20260601_112658,clip_223,69.333,74.0,-13.867,-0.68571,-5.0,1.06026,0.05577,520,0.11,4.2e-05,-0.0266
official_run_2,self_20260601_112658,clip_222,76.333,81.0,6.083,-1.42857,-8.0,0.99815,-0.05011,5,0.04203,-1.3e-05,-0.0693
official_run_2,self_20260601_112658,clip_221,69.4,71.0,0.6,0.3,-2.0,1.20293,0.09357,603,0.16554,7.1e-05,-0.0379
official_run_2,self_20260601_112658,clip_220,70.333,74.0,-3.667,-0.62857,-4.0,1.23579,0.00018,22,0.04729,3e-06,-0.0411
official_run_2,self_20260601_112658,clip_219,77.714,81.0,6.048,-1.07143,-9.0,1.18324,-0.0095,60,0.05157,1.8e-05,-0.0541
official_run_2,self_20260601_112658,clip_218,70.0,78.0,-7.5,-2.57143,-14.0,1.15852,-0.03493,2,0.02905,3.8e-05,-0.0379
official_run_2,self_20260601_112658,clip_217,76.0,77.0,4.0,-0.03571,-2.0,1.09483,-0.02975,40,0.05923,1.5e-05,-0.0814
official_run_2,self_20260601_112658,clip_216,73.833,75.0,-2.367,0.6,0.0,1.02056,-0.07817,1,0.04237,-8.7e-05,-0.1531
official_run_2,self_20260601_112658,clip_215,77.5,81.0,0.25,-0.88571,-4.0,1.05315,0.02713,392,0.09578,2.4e-05,-0.0516
official_run_2,self_20260601_112658,clip_214,72.8,74.0,-0.95,-0.2,-2.0,1.09926,0.03226,459,0.08129,2.9e-05,-0.0282
official_run_2,self_20260601_112658,clip_213,73.4,75.0,-4.6,-0.0,-1.0,1.06085,-0.00062,203,0.05303,5.4e-05,-0.0266
official_run_2,self_20260601_112658,clip_212,75.6,77.0,-0.8,0.1,-2.0,1.05444,0.01557,274,0.08043,3.6e-05,-0.0201
official_run_2,self_20260601_112658,clip_211,76.857,80.0,3.107,0.32143,-4.0,0.90972,-0.1179,0,0.0,-4.2e-05,-0.1103
official_run_2,self_20260601_112658,clip_210,70.286,73.0,-6.381,0.35714,0.0,0.92659,-0.00054,163,0.05517,3.5e-05,-0.0572
official_run_2,self_20260601_112658,clip_209,72.167,73.0,0.367,0.08571,-1.0,0.92563,0.00061,231,0.05328,6.9e-05,-0.0073
official_run_2,self_20260601_112658,clip_208,75.167,81.0,-2.083,-1.97143,-9.0,0.89406,-0.01422,137,0.05712,8.1e-05,-0.029
official_run_2,self_20260601_112658,clip_207,74.0,76.0,1.0,-0.8,-4.0,0.8675,-0.09976,0,0.01344,-0.000116,-0.1507
official_run_2,self_20260601_112658,clip_206,75.571,81.0,3.321,-1.17857,-8.0,0.8165,-0.04531,49,0.05528,-2.2e-05,-0.075
official_run_2,self_20260601_112658,clip_205,69.429,73.0,3.179,1.25,0.0,0.84286,-0.02163,135,0.07671,-9.6e-05,-0.1225
official_run_2,self_20260601_112658,clip_204,70.0,74.0,-3.75,-1.65714,-7.0,0.91487,0.07217,494,0.1501,7.3e-05,-0.083
official_run_2,self_20260601_112658,clip_203,66.0,67.0,-10.0,0.11429,-2.0,0.93826,0.09371,553,0.15545,4.5e-05,-0.033
official_run_2,self_20260601_112658,clip_202,68.4,71.0,0.8,-1.2,-5.0,1.00521,0.02542,430,0.08481,1.9e-05,-0.0396
official_run_2,self_20260601_112658,clip_201,71.571,77.0,3.238,-1.28571,-8.0,0.93999,-0.06521,0,0.015,8.7e-05,-0.0524
pau,self_20260601_210739,clip_200,,,,0.0,,1.30016,-0.13841,13,0.07084,-0.000158,-0.2031
pau,self_20260601_210739,clip_199,,,,0.0,,1.33206,0.07849,480,0.13253,5e-06,-0.0492
pau,self_20260601_210739,clip_198,,,,0.0,,1.45585,0.06687,422,0.13251,8.2e-05,-0.0194
pau,self_20260601_210739,clip_197,,,,0.0,,1.59822,0.07009,491,0.13117,6.6e-05,-0.0138
pau,self_20260601_210739,clip_196,,,,0.0,,1.68105,0.03656,451,0.0905,2.4e-05,-0.033
pau,self_20260601_210739,clip_195,,,,0.0,,1.69346,0.0525,452,0.09975,5.2e-05,-0.0121
pau,self_20260601_210739,clip_194,,,,0.0,,1.72369,-0.03021,27,0.03349,-7.8e-05,-0.0975
pau,self_20260601_210739,clip_193,,,,0.0,,1.67218,0.00398,123,0.0483,3.4e-05,-0.0193
pau,self_20260601_210739,clip_192,,,,0.0,,1.75739,0.03439,446,0.0757,2.9e-05,-0.0242
pau,self_20260601_210739,clip_191,,,,0.0,,1.81805,0.02385,383,0.0528,1.3e-05,-0.0217
pau,self_20260601_210739,clip_190,,,,0.0,,1.81431,-0.00907,2,0.02123,1.1e-05,-0.0185
